	date	state	confirmed	death	recovered
0	1/22/20	Anhui	1.0	0.0	0.0
1	1/23/20	Anhui	9.0	0.0	0.0
2	1/24/20	Anhui	15.0	0.0	0.0
3	1/25/20	Anhui	39.0	0.0	0.0
4	1/26/20	Anhui	60.0	0.0	0.0
5	1/27/20	Anhui	70.0	0.0	0.0
6	1/28/20	Anhui	106.0	0.0	0.0
7	1/29/20	Anhui	152.0	0.0	2.0
8	1/30/20	Anhui	200.0	0.0	2.0
9	1/31/20	Anhui	237.0	0.0	3.0
10	2/1/20	Anhui	297.0	0.0	5.0
11	2/2/20	Anhui	340.0	0.0	7.0
12	2/3/20	Anhui	408.0	0.0	14.0
13	2/4/20	Anhui	480.0	0.0	20.0
14	2/5/20	Anhui	530.0	0.0	23.0
15	2/6/20	Anhui	591.0	0.0	34.0
16	2/7/20	Anhui	665.0	0.0	47.0
17	2/8/20	Anhui	733.0	0.0	59.0
18	2/9/20	Anhui	779.0	1.0	72.0
19	2/10/20	Anhui	830.0	3.0	88.0
20	2/11/20	Anhui	860.0	4.0	105.0
21	2/12/20	Anhui	889.0	4.0	127.0
22	2/13/20	Anhui	910.0	5.0	157.0
23	2/14/20	Anhui	934.0	6.0	193.0
24	2/15/20	Anhui	950.0	6.0	221.0
25	2/16/20	Anhui	962.0	6.0	255.0
26	2/17/20	Anhui	973.0	6.0	280.0
27	2/18/20	Anhui	982.0	6.0	361.0
28	2/19/20	Anhui	986.0	6.0	413.0
29	2/20/20	Anhui	987.0	6.0	474.0
30	2/21/20	Anhui	988.0	6.0	539.0
31	2/22/20	Anhui	989.0	6.0	597.0
32	2/23/20	Anhui	989.0	6.0	637.0
33	2/24/20	Anhui	989.0	6.0	663.0
34	2/25/20	Anhui	989.0	6.0	712.0
35	2/26/20	Anhui	989.0	6.0	744.0
36	2/27/20	Anhui	989.0	6.0	792.0
37	2/28/20	Anhui	990.0	6.0	821.0
38	2/29/20	Anhui	990.0	6.0	868.0
39	3/1/20	Anhui	990.0	6.0	873.0
40	3/2/20	Anhui	990.0	6.0	917.0
41	3/3/20	Anhui	990.0	6.0	936.0
42	3/4/20	Anhui	990.0	6.0	956.0
43	3/5/20	Anhui	990.0	6.0	970.0
44	3/6/20	Anhui	990.0	6.0	979.0
45	3/7/20	Anhui	990.0	6.0	979.0
46	3/8/20	Anhui	990.0	6.0	984.0
47	3/9/20	Anhui	990.0	6.0	984.0
48	3/10/20	Anhui	990.0	6.0	984.0
49	3/11/20	Anhui	990.0	6.0	984.0
50	3/12/20	Anhui	990.0	6.0	984.0
51	3/13/20	Anhui	990.0	6.0	984.0
52	3/14/20	Anhui	990.0	6.0	984.0
53	3/15/20	Anhui	990.0	6.0	984.0
54	3/16/20	Anhui	990.0	6.0	984.0
55	3/17/20	Anhui	990.0	6.0	984.0
56	3/18/20	Anhui	990.0	6.0	984.0
57	3/19/20	Anhui	990.0	6.0	984.0
