	date	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
0	2016-01-01	2558	37	62	66	109	138	166	249	368	416	471	352	110	14
1	2016-01-02	2422	15	53	66	99	130	155	232	372	399	462	319	103	17
2	2016-01-03	2522	25	69	73	93	116	136	207	402	414	525	342	106	14
3	2016-01-04	2743	23	91	91	93	143	168	256	424	446	527	358	100	23
4	2016-01-05	2633	21	60	84	119	126	170	245	399	424	491	371	96	27
5	2016-01-06	2578	14	75	60	89	157	183	225	386	421	514	345	93	16
6	2016-01-07	2584	20	69	66	94	136	184	215	387	418	489	363	113	30
7	2016-01-08	2765	23	79	72	121	155	191	241	425	464	486	379	110	19
8	2016-01-09	2579	19	59	69	97	131	161	235	389	468	489	339	103	20
9	2016-01-10	2585	26	72	71	97	130	162	194	401	433	531	364	85	19
10	2016-01-11	2751	22	77	67	128	153	163	244	412	469	508	373	116	19
11	2016-01-12	2627	24	68	57	106	146	177	205	374	455	534	369	92	20
12	2016-01-13	2698	24	72	75	104	133	189	237	419	445	540	327	106	27
13	2016-01-14	2581	18	68	72	105	151	153	237	383	407	504	373	92	18
14	2016-01-15	2657	22	81	70	108	134	185	219	377	463	512	365	99	22
15	2016-01-16	2627	15	67	62	96	144	167	237	415	470	470	363	103	18
16	2016-01-17	2498	24	73	59	98	122	171	206	357	430	502	341	100	15
17	2016-01-18	2624	14	69	79	87	136	187	242	380	418	509	385	94	24
18	2016-01-19	2641	25	76	67	118	100	180	231	393	440	507	377	104	23
19	2016-01-20	2640	18	66	72	111	137	185	225	401	431	480	375	117	22
20	2016-01-21	2685	15	75	71	97	130	177	235	433	456	503	378	94	21
21	2016-01-22	2668	16	65	60	91	122	174	242	416	457	517	392	99	17
22	2016-01-23	2688	22	73	69	95	154	153	254	413	454	519	365	102	15
23	2016-01-24	2681	15	73	57	84	134	174	224	407	487	528	357	119	22
24	2016-01-25	2777	18	72	80	113	146	206	228	407	463	515	404	105	20
25	2016-01-26	2679	24	81	72	103	149	176	261	385	440	512	357	103	16
26	2016-01-27	2691	32	57	63	109	143	174	248	431	439	510	340	123	22
27	2016-01-28	2639	20	72	73	96	137	185	217	414	444	498	352	106	25
