	date	month	death	  0 - 30	30 - 50	50 - 55	55 - 60	60 - 65	65 - 70	70 - 75	75 - 80 	80 - 85	85 - 90	90 - 95	95 - 100	100 u. mehr
0	2016-01	Januar	81742	657	2194	2137	3141	4203	5355	7175	12388	13721	15688	11244	3197	642
1	2016-02	Februar	76619	641	2091	2030	2971	4030	5011	6784	11644	12988	14556	10304	2977	592
2	2016-03	März	83669	733	2273	2146	3207	4373	5433	7440	12850	14230	15697	11333	3301	653
3	2016-04	April	75316	617	2078	1958	2938	3961	4898	6740	11600	12632	14251	10022	3083	538
4	2016-05	Mai	74525	714	2093	1999	2871	3861	5074	6434	11181	12915	13977	9818	3021	567
5	2016-06	Juni	69186	648	1965	1909	2801	3791	4671	6097	10740	11729	12588	8960	2802	485
6	2016-07	Juli	72122	728	2111	1897	2904	3866	4920	6319	10957	12264	13338	9401	2943	474
7	2016-08	August	71295	676	2029	1885	2848	3861	4939	6122	10844	12238	13145	9243	2971	494
8	2016-09	September	69037	693	2001	1772	2830	3569	4778	5863	10483	11770	12929	9004	2894	451
9	2016-10	Oktober	76001	690	2066	1972	3003	3889	5187	6269	11566	13147	14189	10221	3282	520
10	2016-11	November	77051	693	2030	1879	2891	3903	5017	6305	11709	13534	14629	10446	3452	563
11	2016-12	Dezember	84339	681	2120	2008	3028	4151	5520	6918	12805	14704	16123	11830	3825	626
12	2017-01	Januar	96033	734	2106	2070	3346	4510	5867	7605	14182	16835	18767	14348	4928	735
13	2017-02	Februar	90651	628	1948	1903	3000	4101	5416	7076	13341	16026	17997	13824	4707	684
14	2017-03	März	82934	697	2078	1965	3054	3992	5470	6622	12543	14616	15722	11496	4108	571
15	2017-04	April	73204	629	1958	1807	2888	3874	4809	6195	11133	12809	13474	9877	3298	453
16	2017-05	Mai	75683	656	2074	2003	2919	4004	5253	6205	11402	13340	13911	9998	3444	474
17	2017-06	Juni	69644	641	1955	1827	2849	3768	4851	5623	10483	12278	12515	9288	3138	428
18	2017-07	Juli	71411	636	1891	1847	2850	3860	5125	5939	10832	12590	13027	9199	3201	414
19	2017-08	August	71489	641	1948	1821	2787	3975	5127	5894	10635	12585	12997	9263	3385	431
20	2017-09	September	69393	621	1898	1777	2704	3561	4861	5771	10490	12351	12708	9063	3204	384
21	2017-10	Oktober	75229	617	1900	1985	2898	3908	5177	6118	11074	13526	13738	10229	3590	469
22	2017-11	November	74989	573	1881	1932	2817	3953	5281	6016	11032	13492	13777	10124	3664	447
23	2017-12	Dezember	81612	660	1895	1945	2961	4186	5493	6524	12085	14894	15312	11147	4003	507
24	2018-01	Januar	84973	700	2094	1991	3204	4392	5685	6671	12442	15346	15761	11827	4343	517
25	2018-02	Februar	85799	617	1912	1927	3035	4190	5608	6878	12480	15584	15943	12411	4698	516
26	2018-03	März	107104	706	2227	2226	3748	5062	6927	8192	15298	19658	20552	15861	5915	732
27	2018-04	April	79539	660	1905	1898	3092	4140	5470	6292	11587	14500	14541	10929	4078	447
28	2018-05	Mai	74648	618	1952	1849	2966	4006	5303	5924	10758	13819	13562	9847	3643	401
29	2018-06	Juni	69328	667	1818	1845	2748	3863	4842	5555	10125	12784	12196	9168	3351	366
30	2018-07	Juli	75605	681	2005	1817	2956	4053	5344	6075	10768	13747	13661	10347	3694	457
31	2018-08	August	78370	680	1946	1909	3030	4052	5546	6099	11237	14500	14340	10717	3889	425
32	2018-09	September	69708	598	1746	1759	2742	3756	5013	5582	9880	13066	12394	9384	3402	386
33	2018-10	Oktober	74039	648	1832	1850	2957	3972	5201	5987	10584	13804	13189	9945	3698	372
34	2018-11	November	74762	616	1810	1775	2961	3912	5241	5811	10711	14291	13392	10106	3741	395
35	2018-12	Dezember	80999	624	1830	1808	3013	4186	5480	6371	11430	15589	14537	11429	4263	439
