	REG	region	total_commune	mortality_commune	total_population	mortality_population
0	14	Abruzzo	305	28	1307309	172493
0	18	Basilicata	131	10	578036	48979
0	19	Calabria	404	21	1959050	101130
0	16	Campania	550	33	5766810	258135
0	9	Emilia-Romagna	328	173	4342135	2628120
0	7	Friuli Venezia Giulia	215	22	1220291	119420
0	13	Lazio	378	17	5502886	178014
0	8	Liguria	234	37	1570694	1080422
0	4	Lombardia	1506	622	9704151	6958809
0	12	Marche	228	37	1541319	516754
0	15	Molise	136	6	313660	26797
0	2	Piemonte	1181	201	4363916	1694754
0	17	Puglia	257	46	4052566	753811
0	21	Sardegna	377	58	1639362	389779
0	20	Sicilia	390	43	5002904	362805
0	10	Toscana	273	90	3672202	1166772
0	5	Trentino-Alto Adige/Südtirol	282	29	1029475	195028
0	11	Umbria	92	15	884268	210519
0	3	Valle d'Aosta	74	5	126806	49680
0	6	Veneto	563	196	4855904	1982748
