	REG	region	total_commune	mortality_commune	total_population	mortality_population
0	14	Abruzzo	305	28	1311580	170540
0	18	Basilicata	131	10	562869	46649
0	19	Calabria	404	21	1947131	98955
0	16	Campania	550	33	5801692	258209
0	9	Emilia-Romagna	328	173	4459477	2718973
0	7	Friuli Venezia Giulia	215	22	1215220	118647
0	13	Lazio	378	17	5879082	184596
0	8	Liguria	234	37	1550640	1071658
0	4	Lombardia	1506	622	10060574	7262054
0	12	Marche	228	37	1525271	513284
0	15	Molise	136	6	305617	26577
0	2	Piemonte	1181	201	4356406	1694650
0	17	Puglia	257	46	4029053	749628
0	21	Sardegna	377	58	1639591	388492
0	20	Sicilia	390	43	4999891	361721
0	10	Toscana	273	90	3729641	1174102
0	5	Trentino-Alto Adige/Südtirol	282	29	1072276	203386
0	11	Umbria	92	15	882015	211428
0	3	Valle d'Aosta/Vallée d'Aoste	74	5	125666	49570
0	6	Veneto	563	196	4905854	2007806
