	week	region	age_group	male	female	total
0	01/01/2015-11/01/2015	Abruzzo	0	0.0	2.0	2.0
1	12/01/2015-18/01/2015	Abruzzo	0	0.0	1.0	1.0
2	19/01/2015-25/01/2015	Abruzzo	0	0.0	0.0	0.0
3	26/01/2015-01/02/2015	Abruzzo	0	0.0	0.0	0.0
4	02/02/2015-08/02/2015	Abruzzo	0	0.0	0.0	0.0
5	09/02/2015-15/02/2015	Abruzzo	0	0.0	0.0	0.0
6	16/02/2015-22/02/2015	Abruzzo	0	0.0	0.0	0.0
7	23/02/2015-29/02/2015	Abruzzo	0	0.0	0.0	0.0
8	01/03/2015-07/03/2015	Abruzzo	0	0.0	0.0	0.0
9	08/03/2015-14/03/2015	Abruzzo	0	0.0	0.0	0.0
10	15/03/2015-21/03/2015	Abruzzo	0	0.0	0.0	0.0
11	22/03/2015-28/03/2015	Abruzzo	0	0.0	0.0	0.0
12	01/01/2016-11/01/2016	Abruzzo	0	0.0	0.0	0.0
13	12/01/2016-18/01/2016	Abruzzo	0	0.0	0.0	0.0
14	19/01/2016-25/01/2016	Abruzzo	0	0.0	0.0	0.0
15	26/01/2016-01/02/2016	Abruzzo	0	0.0	0.0	0.0
16	02/02/2016-08/02/2016	Abruzzo	0	0.0	0.0	0.0
17	09/02/2016-15/02/2016	Abruzzo	0	1.0	0.0	1.0
18	16/02/2016-22/02/2016	Abruzzo	0	0.0	0.0	0.0
19	23/02/2016-29/02/2016	Abruzzo	0	0.0	0.0	0.0
20	01/03/2016-07/03/2016	Abruzzo	0	0.0	0.0	0.0
21	08/03/2016-14/03/2016	Abruzzo	0	0.0	0.0	0.0
22	15/03/2016-21/03/2016	Abruzzo	0	0.0	0.0	0.0
23	22/03/2016-28/03/2016	Abruzzo	0	0.0	0.0	0.0
24	01/01/2017-11/01/2017	Abruzzo	0	0.0	0.0	0.0
25	12/01/2017-18/01/2017	Abruzzo	0	0.0	0.0	0.0
