	REG	region	total_commune	mortality_commune	total_population	mortality_population	completeness
0	14	Abruzzo	305	261	1307309.0	1117669.0	0.855
0	18	Basilicata	131	109	578036.0	434627.0	0.752
0	19	Calabria	404	323	1959050.0	1508837.0	0.77
0	16	Campania	550	429	5766810.0	4561402.0	0.791
0	9	Emilia-Romagna	328	295	4342135.0	4103857.0	0.945
0	7	Friuli Venezia Giulia	215	190	1220291.0	897877.0	0.736
0	13	Lazio	378	277	5502886.0	4437434.0	0.806
0	8	Liguria	234	205	1570694.0	1447475.0	0.922
0	4	Lombardia	1506	1439	9704151.0	9414258.0	0.97
0	12	Marche	228	192	1541319.0	1285261.0	0.834
0	15	Molise	136	111	313660.0	230576.0	0.735
0	2	Piemonte	1181	1089	4363916.0	4066901.0	0.932
0	17	Puglia	257	209	4052566.0	3441572.0	0.849
0	21	Sardegna	377	327	1639362.0	1240952.0	0.757
0	20	Sicilia	390	277	5002904.0	3670046.0	0.734
0	10	Toscana	273	229	3672202.0	3267523.0	0.89
0	5	Trentino-Alto Adige/Südtirol	282	256	1029475.0	950219.0	0.923
0	11	Umbria	92	81	884268.0	829495.0	0.938
0	3	Valle d'Aosta	74	67	126806.0	115381.0	0.91
0	6	Veneto	563	490	4855904.0	4233934.0	0.872
