	REG	region	total_commune	mortality_commune	total_population	mortality_population
0	1	Abruzzo	1181	99	4363916	809191
0	2	Basilicata	74	2	126806	38959
0	3	Calabria	1506	434	9704151	5418484
0	4	Campania	282	15	1029475	99569
0	5	Emilia-Romagna	563	122	4855904	1060192
0	6	Friuli Venezia Giulia	215	15	1220291	87724
0	7	Lazio	234	21	1570694	308246
0	8	Liguria	328	125	4342135	1779544
0	9	Lombardia	273	58	3672202	829672
0	10	Marche	92	13	884268	193548
0	11	Molise	228	25	1541319	363371
0	12	Piemonte	378	10	5502886	103694
0	13	Puglia	305	22	1307309	117072
0	14	Sardegna	136	5	313660	24710
0	15	Sicilia	550	19	5766810	162873
0	16	Toscana	257	29	4052566	420809
0	17	Trentino-Alto Adige/Südtirol	131	6	578036	34595
0	18	Umbria	404	8	1959050	36558
0	19	Valle d'Aosta	390	27	5002904	263911
0	20	Veneto	377	29	1639362	176843
