region,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
,males,females,total,males,females,total,males,females,total,males,females,total,males,females,total,males,females,total,males,females,total,males,females,total
Italy,287596,305831,593427,295255,317628,612883,290354,310390,600744,289180,309184,598364,307964,339607,647571,295775,319486,615261,309505,339556,649061,302495,330638,633133
Nord,131178,145162,276340,135811,150999,286810,133471,148052,281523,132096,146042,278138,141519,161357,302876,136642,151413,288055,141348,159590,300938,141107,158822,299929
Nord-ovest,76467,84438,160905,79210,88073,167283,78098,86211,164309,76761,85056,161817,83069,94450,177519,79708,87815,167523,82885,93579,176464,83528,93567,177095
Piemonte,23730,25331,49061,24048,26459,50507,23937,26140,50077,23526,25886,49412,25545,28531,54076,24292,26692,50984,25325,28216,53541,25394,28444,53838
Torino,11533,12205,23738,11600,12533,24133,11664,12626,24290,11305,12342,23647,12512,13680,26192,11801,12628,24429,12443,13665,26108,12489,13719,26208
Vercelli,1076,1138,2214,1070,1185,2255,1120,1241,2361,1110,1199,2309,1151,1280,2431,1084,1271,2355,1216,1346,2562,1135,1350,2485
Novara,1813,1960,3773,1820,2137,3957,1819,1944,3763,1789,2075,3864,1919,2259,4178,1867,2158,4025,1908,2191,4099,1988,2353,4341
Cuneo,3204,3360,6564,3281,3498,6779,3213,3425,6638,3286,3446,6732,3498,3706,7204,3262,3531,6793,3450,3602,7052,3443,3695,7138
Asti,1320,1368,2688,1396,1486,2882,1325,1501,2826,1324,1514,2838,1410,1654,3064,1371,1564,2935,1415,1600,3015,1377,1593,2970
Alessandria,2840,3104,5944,2918,3309,6227,2797,3199,5996,2789,3085,5874,2879,3495,6374,2885,3261,6146,2859,3398,6257,2898,3332,6230
Biella,1081,1202,2283,1060,1301,2361,1113,1266,2379,1047,1246,2293,1168,1374,2542,1153,1317,2470,1074,1352,2426,1148,1372,2520
Verbano-Cusio-Ossola,863,994,1857,903,1010,1913,886,938,1824,876,979,1855,1008,1083,2091,869,962,1831,960,1062,2022,916,1030,1946
Valle d'Aosta / Vallée d'Aoste,642,646,1288,595,688,1283,628,659,1287,629,660,1289,700,805,1505,680,705,1385,687,767,1454,729,748,1477
Valle d'Aosta / Vallée d'Aoste,642,646,1288,595,688,1283,628,659,1287,629,660,1289,700,805,1505,680,705,1385,687,767,1454,729,748,1477
Liguria,10012,11476,21488,10129,11607,21736,10205,11476,21681,9643,11012,20655,10329,12139,22468,9727,11126,20853,10230,11904,22134,10277,11961,22238
Imperia,1381,1457,2838,1277,1430,2707,1314,1478,2792,1387,1421,2808,1344,1595,2939,1343,1438,2781,1392,1574,2966,1423,1628,3051
Savona,1767,1989,3756,1838,2095,3933,1913,2084,3997,1749,1934,3683,1924,2152,4076,1777,2007,3784,1848,2181,4029,1922,2135,4057
Genova,5520,6371,11891,5651,6472,12123,5572,6317,11889,5189,6096,11285,5661,6705,12366,5262,6209,11471,5619,6523,12142,5535,6540,12075
La Spezia,1344,1659,3003,1363,1610,2973,1406,1597,3003,1318,1561,2879,1400,1687,3087,1345,1472,2817,1371,1626,2997,1397,1658,3055
Lombardia,42083,46985,89068,44438,49319,93757,43328,47936,91264,42963,47498,90461,46495,52975,99470,45009,49292,94301,46643,52692,99335,47128,52414,99542
Varese,3809,4107,7916,4021,4465,8486,4003,4363,8366,3886,4303,8189,4284,4871,9155,4115,4488,8603,4174,4899,9073,4355,4875,9230
Como,2456,2802,5258,2673,2801,5474,2574,2942,5516,2573,2805,5378,2773,3176,5949,2745,2959,5704,2801,3222,6023,2838,3244,6082
Sondrio,866,932,1798,880,944,1824,855,890,1745,934,941,1875,912,977,1889,905,985,1890,976,998,1974,1014,1003,2017
Milano,13219,14624,27843,14101,15585,29686,13710,14762,28472,13313,14634,27947,14554,16469,31023,14111,15474,29585,14774,16413,31187,14669,16159,30828
Bergamo,4261,4773,9034,4514,5001,9515,4378,4920,9298,4400,4846,9246,4758,5466,10224,4668,4955,9623,4852,5403,10255,4767,5210,9977
Brescia,5110,5424,10534,5284,5820,11104,5155,5684,10839,5193,5563,10756,5506,6207,11713,5335,5716,11051,5541,6179,11720,5668,6233,11901
Pavia,3005,3480,6485,3084,3541,6625,2989,3557,6546,2930,3449,6379,3287,3791,7078,3066,3604,6670,3268,3843,7111,3195,3718,6913
Cremona,1769,2088,3857,1880,2245,4125,1762,2146,3908,1821,2063,3884,1870,2314,4184,1960,2185,4145,1855,2205,4060,1858,2248,4106
Mantova,2029,2388,4417,2104,2413,4517,2028,2324,4352,1992,2344,4336,2136,2528,4664,2037,2332,4369,2028,2521,4549,2183,2463,4646
Lecco,1360,1628,2988,1452,1607,3059,1491,1651,3142,1420,1644,3064,1596,1821,3417,1532,1647,3179,1569,1738,3307,1610,1731,3341
Lodi,944,1101,2045,1063,1142,2205,991,1072,2063,996,1102,2098,1139,1215,2354,1023,1134,2157,1072,1167,2239,1086,1248,2334
Monza e della Brianza,3255,3638,6893,3382,3755,7137,3392,3625,7017,3505,3804,7309,3680,4140,7820,3512,3813,7325,3733,4104,7837,3885,4282,8167
Nord-est,54711,60724,115435,56601,62926,119527,55373,61841,117214,55335,60986,116321,58450,66907,125357,56934,63598,120532,58463,66011,124474,57579,65255,122834
Trentino Alto Adige / Südtirol,4062,4426,8488,4149,4695,8844,4250,4642,8892,4257,4617,8874,4467,4941,9408,4432,4776,9208,4489,4968,9457,4365,5046,9411
Provincia Autonoma Bolzano / Bozen,1877,2021,3898,1974,2204,4178,1970,2080,4050,2004,2117,4121,2149,2208,4357,2095,2154,4249,2139,2256,4395,2098,2299,4397
Bolzano / Bozen,1877,2021,3898,1974,2204,4178,1970,2080,4050,2004,2117,4121,2149,2208,4357,2095,2154,4249,2139,2256,4395,2098,2299,4397
Provincia Autonoma Trento,2185,2405,4590,2175,2491,4666,2280,2562,4842,2253,2500,4753,2318,2733,5051,2337,2622,4959,2350,2712,5062,2267,2747,5014
