	region_code	region	death	date
0	1	Piemonte	137	2015-01-01
1	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-01
2	3	Lombardia	306	2015-01-01
3	4	Trentino-Alto Adige/Südtirol	30	2015-01-01
4	5	Veneto	153	2015-01-01
5	6	Friuli-Venezia Giulia	63	2015-01-01
6	7	Liguria	82	2015-01-01
7	8	Emilia-Romagna	165	2015-01-01
8	9	Toscana	141	2015-01-01
9	10	Umbria	37	2015-01-01
10	11	Marche	56	2015-01-01
11	12	Lazio	205	2015-01-01
12	13	Abruzzo	51	2015-01-01
13	14	Molise	10	2015-01-01
14	15	Campania	217	2015-01-01
15	16	Puglia	129	2015-01-01
16	17	Basilicata	18	2015-01-01
17	18	Calabria	75	2015-01-01
18	19	Sicilia	189	2015-01-01
19	20	Sardegna	65	2015-01-01
20	1	Piemonte	137	2015-01-02
21	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-02
22	3	Lombardia	306	2015-01-02
23	4	Trentino-Alto Adige/Südtirol	30	2015-01-02
24	5	Veneto	153	2015-01-02
25	6	Friuli-Venezia Giulia	63	2015-01-02
26	7	Liguria	82	2015-01-02
27	8	Emilia-Romagna	165	2015-01-02
28	9	Toscana	141	2015-01-02
29	10	Umbria	37	2015-01-02
30	11	Marche	56	2015-01-02
31	12	Lazio	205	2015-01-02
32	13	Abruzzo	51	2015-01-02
33	14	Molise	10	2015-01-02
34	15	Campania	217	2015-01-02
35	16	Puglia	129	2015-01-02
36	17	Basilicata	18	2015-01-02
37	18	Calabria	75	2015-01-02
38	19	Sicilia	189	2015-01-02
39	20	Sardegna	65	2015-01-02
40	1	Piemonte	137	2015-01-03
41	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-03
42	3	Lombardia	306	2015-01-03
43	4	Trentino-Alto Adige/Südtirol	30	2015-01-03
44	5	Veneto	153	2015-01-03
45	6	Friuli-Venezia Giulia	63	2015-01-03
46	7	Liguria	82	2015-01-03
47	8	Emilia-Romagna	165	2015-01-03
48	9	Toscana	141	2015-01-03
49	10	Umbria	37	2015-01-03
50	11	Marche	56	2015-01-03
51	12	Lazio	205	2015-01-03
52	13	Abruzzo	51	2015-01-03
53	14	Molise	10	2015-01-03
54	15	Campania	217	2015-01-03
55	16	Puglia	129	2015-01-03
56	17	Basilicata	18	2015-01-03
57	18	Calabria	75	2015-01-03
58	19	Sicilia	189	2015-01-03
59	20	Sardegna	65	2015-01-03
60	1	Piemonte	137	2015-01-04
61	2	Valle d'Aosta/Vallée d'Aoste	2	2015-01-04
62	3	Lombardia	306	2015-01-04
63	4	Trentino-Alto Adige/Südtirol	30	2015-01-04
64	5	Veneto	153	2015-01-04
65	6	Friuli-Venezia Giulia	63	2015-01-04
66	7	Liguria	82	2015-01-04
67	8	Emilia-Romagna	165	2015-01-04
68	9	Toscana	141	2015-01-04
69	10	Umbria	37	2015-01-04
70	11	Marche	56	2015-01-04
