region,0-10 years,11-20 years,21-30 years,31-40 years,41-50 years,51-60 years,61-70 years,71-80 years,81-90 years,91-100 years
Emilia-Romagna,420352,402750,422689,525550,721521,675619,530627,442096,263403,54870
Lazio,562746,545574,594254,736807,961064,909681,686436,535571,293854,53095
Liguria,121971,128957,139882,154717,231385,248658,202905,185820,113479,22866
Lombardia,983831,957871,995992,1216953,1620068,1526621,1172991,963803,527495,94949
Marche,137611,139059,150150,177296,233689,230272,188935,153084,95384,19791
Molise,24453,27336,33944,36492,44329,46993,40186,28479,19377,4028
Piemonte,385678,387543,413212,483672,674259,669933,557234,465901,270855,48119
Puglia,370666,413576,457426,488553,608754,596144,491312,369540,198508,34574
Sardegna,129800,139088,161880,199234,263388,263479,219784,162614,84677,15647
Sicilia,489208,521361,591662,620162,735612,727452,599531,436713,237894,40296
Toscana,329046,330341,348774,425977,586457,571417,462217,398594,230266,46552
Umbria,78308,78855,84126,102649,134289,132837,111017,92034,56130,11770
Veneto,462825,470419,485835,561913,784261,771735,587316,476485,255545,49520
