region	0-9 years	10-19 years	20-29 years	30-39 years	40-49 years	50-59 years	60-69 years	70-79 years	80-89 years	90-109 years
Abruzzo	104868	117094	134238	156306	196299	203139	167393	129508	83475	19260
Basilicata	41991	52979	63504	67268	81348	88030	72610	51445	36162	7532
Calabria	165312	190676	227036	248301	277410	290512	242138	174360	108440	22946
Campania	530912	641470	715901	736472	860147	868548	666878	480067	252942	48355
Emilia-Romagna	378176	404912	416656	509891	709189	691144	534643	454624	290154	70088
Friuli-Venezia Giulia	93182	106022	110352	129345	185081	194188	155142	141583	80359	19966
Lazio	506283	546882	584104	717632	946659	931157	695812	555882	326211	68460
Liguria	109118	128322	138660	151638	223467	252494	203327	189487	124680	29447
Lombardia	884414	961237	982354	1187594	1591034	1566175	1182159	994236	588241	123130
Marche	123450	138615	148825	172352	230374	233788	191098	156257	105212	25300
Molise	21948	26617	33639	36111	43484	47515	40461	29869	20864	5109
Piemonte	346338	386792	409014	472194	658299	682253	558840	479555	300502	62619
Puglia	332668	407564	454334	480448	601316	606678	492806	388850	219235	45154
Sardegna	116308	138239	158533	193523	260127	266150	223054	170211	93001	20445
Sicilia	440105	515344	585416	614982	726189	738060	605502	458247	263279	52767
Toscana	294910	331182	343614	414568	575674	582074	462876	410421	254430	59892
Umbria	70074	79194	82608	100350	132027	135143	110810	94959	61915	14935
Veneto	414926	470462	482384	547052	767625	788986	595088	492166	283331	63834
