	region	0	1	2	3	4	5	6	7	8	9
0	Liguria	109118	128322	138660	151637	223467	252493	203326	189486	108176	45950
1	Abruzzo	104868	117093	134238	156305	196298	203138	167392	129508	55137	47597
2	Lombardia	884414	961236	982354	1187594	1591034	1566175	1182159	994235	513317	198053
3	Emilia-Romagna	378175	404912	416655	509891	709188	691143	534642	454623	232654	127587
4	Marche	123450	138615	148825	172352	230373	233787	191097	156256	71437	59074
5	Piemonte	346338	386791	409014	472193	658299	682252	558839	479555	242534	120586
6	Puglia	332668	407563	454334	480448	601315	606677	492805	388850	178973	85415
7	Toscana	294910	331182	343614	414567	575674	582073	462875	410420	219398	94923
8	Veneto	414926	470461	482383	547052	767624	788985	595087	492165	250331	96833
9	Sardegna	116308	138239	158533	193522	260126	266149	223053	170210	73609	39836
