	week	region	age_group	male	female	total
0	01/01/2015-11/01/2015	Abruzzo	0	0.0	2.0	2.0
1	12/01/2015-18/01/2015	Abruzzo	0	2.0	2.0	4.0
2	19/01/2015-25/01/2015	Abruzzo	0	0.0	0.0	0.0
3	26/01/2015-01/02/2015	Abruzzo	0	1.0	0.0	1.0
4	02/02/2015-08/02/2015	Abruzzo	0	0.0	0.0	0.0
5	09/02/2015-15/02/2015	Abruzzo	0	0.0	0.0	0.0
6	16/02/2015-22/02/2015	Abruzzo	0	0.0	0.0	0.0
7	23/02/2015-29/02/2015	Abruzzo	0	1.0	0.0	1.0
8	01/03/2015-07/03/2015	Abruzzo	0	1.0	0.0	1.0
9	08/03/2015-14/03/2015	Abruzzo	0	0.0	0.0	0.0
10	15/03/2015-21/03/2015	Abruzzo	0	0.0	0.0	0.0
11	22/03/2015-28/03/2015	Abruzzo	0	0.0	0.0	0.0
12	29/03/2015-04/04/2015	Abruzzo	0	0.0	0.0	0.0
13	05/04/2015-11/04/2015	Abruzzo	0	0.0	0.0	0.0
14	12/04/2015-18/04/2015	Abruzzo	0	0.0	0.0	0.0
15	19/04/2015-25/04/2015	Abruzzo	0	0.0	1.0	1.0
16	26/04/2015-02/05/2015	Abruzzo	0	1.0	0.0	1.0
17	03/05/2015-09/05/2015	Abruzzo	0	0.0	0.0	0.0
18	10/05/2015-16/05/2015	Abruzzo	0	0.0	0.0	0.0
19	17/05/2015-23/05/2015	Abruzzo	0	0.0	0.0	0.0
20	24/05/2015-30/05/2015	Abruzzo	0	1.0	0.0	1.0
21	31/05/2015-06/06/2015	Abruzzo	0	0.0	0.0	0.0
22	07/06/2015-13/06/2015	Abruzzo	0	2.0	2.0	4.0
23	14/06/2015-20/06/2015	Abruzzo	0	0.0	0.0	0.0
24	21/06/2015-27/06/2015	Abruzzo	0	0.0	0.0	0.0
25	01/01/2016-11/01/2016	Abruzzo	0	0.0	0.0	0.0
26	12/01/2016-18/01/2016	Abruzzo	0	0.0	0.0	0.0
27	19/01/2016-25/01/2016	Abruzzo	0	0.0	0.0	0.0
28	26/01/2016-01/02/2016	Abruzzo	0	1.0	1.0	2.0
29	02/02/2016-08/02/2016	Abruzzo	0	0.0	0.0	0.0
30	09/02/2016-15/02/2016	Abruzzo	0	1.0	0.0	1.0
31	16/02/2016-22/02/2016	Abruzzo	0	2.0	0.0	2.0
32	23/02/2016-29/02/2016	Abruzzo	0	1.0	0.0	1.0
33	01/03/2016-07/03/2016	Abruzzo	0	0.0	0.0	0.0
34	08/03/2016-14/03/2016	Abruzzo	0	0.0	0.0	0.0
35	15/03/2016-21/03/2016	Abruzzo	0	0.0	0.0	0.0
36	22/03/2016-28/03/2016	Abruzzo	0	0.0	0.0	0.0
37	29/03/2016-04/04/2016	Abruzzo	0	0.0	0.0	0.0
38	05/04/2016-11/04/2016	Abruzzo	0	0.0	0.0	0.0
39	12/04/2016-18/04/2016	Abruzzo	0	0.0	1.0	1.0
40	19/04/2016-25/04/2016	Abruzzo	0	1.0	0.0	1.0
41	26/04/2016-02/05/2016	Abruzzo	0	0.0	1.0	1.0
42	03/05/2016-09/05/2016	Abruzzo	0	0.0	0.0	0.0
43	10/05/2016-16/05/2016	Abruzzo	0	0.0	0.0	0.0
44	17/05/2016-23/05/2016	Abruzzo	0	0.0	0.0	0.0
45	24/05/2016-30/05/2016	Abruzzo	0	1.0	1.0	2.0
46	31/05/2016-06/06/2016	Abruzzo	0	1.0	0.0	1.0
47	07/06/2016-13/06/2016	Abruzzo	0	0.0	0.0	0.0
48	14/06/2016-20/06/2016	Abruzzo	0	0.0	1.0	1.0
49	21/06/2016-27/06/2016	Abruzzo	0	1.0	0.0	1.0
50	01/01/2017-11/01/2017	Abruzzo	0	0.0	0.0	0.0
51	12/01/2017-18/01/2017	Abruzzo	0	0.0	0.0	0.0
52	19/01/2017-25/01/2017	Abruzzo	0	1.0	1.0	2.0
53	26/01/2017-01/02/2017	Abruzzo	0	0.0	0.0	0.0
54	02/02/2017-08/02/2017	Abruzzo	0	1.0	0.0	1.0
55	09/02/2017-15/02/2017	Abruzzo	0	1.0	0.0	1.0
56	16/02/2017-22/02/2017	Abruzzo	0	1.0	0.0	1.0
57	23/02/2017-29/02/2017	Abruzzo	0	0.0	0.0	0.0
58	01/03/2017-07/03/2017	Abruzzo	0	0.0	0.0	0.0
59	08/03/2017-14/03/2017	Abruzzo	0	0.0	0.0	0.0
60	15/03/2017-21/03/2017	Abruzzo	0	1.0	0.0	1.0
61	22/03/2017-28/03/2017	Abruzzo	0	0.0	0.0	0.0
62	29/03/2017-04/04/2017	Abruzzo	0	0.0	1.0	1.0
63	05/04/2017-11/04/2017	Abruzzo	0	0.0	0.0	0.0
64	12/04/2017-18/04/2017	Abruzzo	0	0.0	0.0	0.0
65	19/04/2017-25/04/2017	Abruzzo	0	0.0	0.0	0.0
66	26/04/2017-02/05/2017	Abruzzo	0	0.0	0.0	0.0
67	03/05/2017-09/05/2017	Abruzzo	0	0.0	0.0	0.0
68	10/05/2017-16/05/2017	Abruzzo	0	0.0	0.0	0.0
69	17/05/2017-23/05/2017	Abruzzo	0	0.0	0.0	0.0
70	24/05/2017-30/05/2017	Abruzzo	0	2.0	0.0	2.0
71	31/05/2017-06/06/2017	Abruzzo	0	0.0	0.0	0.0
72	07/06/2017-13/06/2017	Abruzzo	0	1.0	0.0	1.0
73	14/06/2017-20/06/2017	Abruzzo	0	0.0	0.0	0.0
