	REG	region	total_commune	mortality_commune	total_population	mortality_population	completeness
0	14	Abruzzo	305	281	1307309.0	1219846.0	0.933
0	18	Basilicata	131	123	578036.0	491859.0	0.851
0	19	Calabria	404	372	1959050.0	1816297.0	0.927
0	16	Campania	550	496	5766810.0	5421650.0	0.94
0	9	Emilia-Romagna	328	308	4342135.0	4220646.0	0.972
0	7	Friuli Venezia Giulia	215	204	1220291.0	1154624.0	0.946
0	13	Lazio	378	330	5502886.0	5132701.0	0.933
0	8	Liguria	234	220	1570694.0	1529854.0	0.974
0	4	Lombardia	1506	1469	9704151.0	9593762.0	0.989
0	12	Marche	228	207	1541319.0	1436364.0	0.932
0	15	Molise	136	126	313660.0	296458.0	0.945
0	2	Piemonte	1181	1113	4363916.0	4187674.0	0.96
0	17	Puglia	257	241	4052566.0	3871371.0	0.955
0	21	Sardegna	377	353	1639362.0	1503068.0	0.917
0	20	Sicilia	390	340	5002904.0	4539161.0	0.907
0	10	Toscana	273	246	3672202.0	3544726.0	0.965
0	5	Trentino-Alto Adige/Südtirol	282	260	1029475.0	961727.0	0.934
0	11	Umbria	92	87	884268.0	843905.0	0.954
0	3	Valle d'Aosta	74	68	126806.0	115606.0	0.912
0	6	Veneto	563	513	4855904.0	4511556.0	0.929
