	date	state	positive	negative	pending	hospitalized	death	total	hash	dateChecked	totalTestResults	fips	deathIncrease	hospitalizedIncrease	negativeIncrease	positiveIncrease	totalTestResultsIncrease
0	20200401	AK	133.0	4470.0		9.0	3.0	4603	8f5b266fd8dae5257f0202c567e5214c32a44482	2020-04-01T20:00:00Z	4603	2	0.0	2.0	876.0	14.0	890.0
1	20200401	AL	1077.0	6697.0			26.0	7774	dae6ab1cd13e64307365a12f912672d5efa845d8	2020-04-01T20:00:00Z	7774	1	13.0	0.0	399.0	96.0	495.0
2	20200401	AR	584.0	7354.0		90.0	10.0	7938	a6205f9b023e366a7116d36d2a495b835fd1f322	2020-04-01T20:00:00Z	7938	5	2.0	26.0	1395.0	61.0	1456.0
3	20200401	AS	0.0	20.0	6.0		0.0	26	737a9ede2746378dfe7a401f0d227ef5419411af	2020-04-01T20:00:00Z	20	60	0.0	0.0	17.0	0.0	17.0
4	20200401	AZ	1413.0	19645.0		149.0	29.0	21058	29f0e82e800bdc7a40abfd72ed6c629468eea982	2020-04-01T20:00:00Z	21058	4	5.0	71.0	1563.0	124.0	1687.0
5	20200401	CA	8155.0	21772.0	57400.0	1855.0	171.0	87327	00c0dd916aab3cd37a3389d249aa6e51fea58372	2020-04-01T20:00:00Z	29927	6	18.0	238.0	0.0	673.0	673.0
6	20200401	CO	2966.0	13883.0		509.0	69.0	16849	be8dd47633185c6ddc9ce07fd0e46d119df6b3d7	2020-04-01T20:00:00Z	16849	8	18.0	95.0	1146.0	339.0	1485.0
7	20200401	CT	3557.0	13043.0		766.0	85.0	16600	2661df3b48789aa78036f1dbdcb3ccf378d1c40b	2020-04-01T20:00:00Z	16600	9	16.0	158.0	14.0	429.0	443.0
8	20200401	DC	586.0	3262.0	2.0		11.0	3850	6e42bf37d67798dca69b902714518116c518e425	2020-04-01T20:00:00Z	3848	11	2.0	0.0	0.0	91.0	91.0
9	20200401	DE	368.0	4015.0		57.0	11.0	4383	e3b456e28aa356b550c3f0c4be204f34cc2f0e6b	2020-04-01T20:00:00Z	4383	10	1.0	-7.0	319.0	-38.0	281.0
10	20200401	FL	6955.0	59529.0	1235.0	949.0	87.0	67719	873e6191b01832e5edd59db7c40f4a388115c225	2020-04-01T20:00:00Z	66484	12	10.0	126.0	5244.0	617.0	5861.0
11	20200401	GA	4638.0	15688.0		952.0	139.0	20326	aa19159f37d97b013f00889f44bf01fdbca6b794	2020-04-01T20:00:00Z	20326	13	28.0	119.0	3436.0	709.0	4145.0
12	20200401	GU	77.0	406.0		19.0	3.0	483	43da7648a57e4c3a59aa6cd412baaa456587431a	2020-04-01T20:00:00Z	483	66	1.0	0.0	35.0	8.0	43.0
13	20200401	HI	208.0	8721.0	18.0	13.0	1.0	8947	5e8753d70c68784227e7e5ffbed13a8f55169ce2	2020-04-01T20:00:00Z	8929	15	1.0	1.0	250.0	4.0	254.0
14	20200401	IA	549.0	7304.0		99.0	9.0	7853	4368d9e8d14337c10052783e610d6e859ab3a052	2020-04-01T20:00:00Z	7853	19	2.0	5.0	416.0	52.0	468.0
15	20200401	ID	525.0	6076.0		46.0	9.0	6601	6c0b549b3da972f9896a336432c7e360817885fc	2020-04-01T20:00:00Z	6601	16	2.0	1.0	779.0	110.0	889.0
16	20200401	IL	6980.0	33404.0			141.0	40384	e19ad5ef0b91b1b02a9e132a0e3f2c7d9b7a48a0	2020-04-01T20:00:00Z	40384	17	42.0	0.0	4173.0	986.0	5159.0
17	20200401	IN	2565.0	11810.0			65.0	14375	cb1c5d18b3371a771f7f7d72f40f7ca5bcc71bbb	2020-04-01T20:00:00Z	14375	18	16.0	0.0	596.0	406.0	1002.0
18	20200401	KS	482.0	5411.0		114.0	10.0	5893	adb4f7fb4ec6c2687b0ded4fa88b7a1836c24bce	2020-04-01T20:00:00Z	5893	20	1.0	35.0	415.0	54.0	469.0
19	20200401	KY	591.0	6965.0			17.0	7556	aadeb355d4c66ce2d42925c79a22ceda86b1fc9b	2020-04-01T20:00:00Z	7556	21	6.0	0.0	635.0	111.0	746.0
20	20200401	LA	6424.0	39352.0		1498.0	273.0	45776	a213688f3e81f046107bfa338c7fb793c9539d8d	2020-04-01T20:00:00Z	45776	22	34.0	143.0	5622.0	1187.0	6809.0
21	20200401	MA	7738.0	44000.0		682.0	122.0	51738	7dd8f004d7a1920311fbb42a98aeeaf6e0044f86	2020-04-01T20:00:00Z	51738	25	33.0	120.0	3685.0	1118.0	4803.0
22	20200401	MD	1985.0	17233.0		522.0	31.0	19218	4d690adc4cdab41321fa24f6a77c03fcbd6e7d71	2020-04-01T20:00:00Z	19218	24	13.0	93.0	2365.0	325.0	2690.0
23	20200401	ME	344.0	6088.0		63.0	7.0	6432	d3c3c9d45060c8f7fbfdd264d18eadae06ca1ccc	2020-04-01T20:00:00Z	6432	23	2.0	6.0	0.0	41.0	41.0
24	20200401	MI	9334.0	11893.0			337.0	21227	8083b6b53c8c2b8864b6c2b453e39b3a7300b6e5	2020-04-01T20:00:00Z	21227	26	78.0	0.0	0.0	1719.0	1719.0
25	20200401	MN	689.0	20502.0		122.0	17.0	21191	cf04afed5f212d031050b721a3dd4ce7b8d07731	2020-04-01T20:00:00Z	21191	27	5.0	10.0	1351.0	60.0	1411.0
26	20200401	MO	1581.0	15846.0			18.0	17427	1174e97d2a0cca1859c26e896fd74bae1fd1cc79	2020-04-01T20:00:00Z	17427	29	4.0	0.0	1232.0	254.0	1486.0
27	20200401	MP	6.0					6	e8b9c8dae30a4157e10d2c23e972edecad74bfc1	2020-04-01T20:00:00Z	6	69	0.0	0.0	0.0	4.0	4.0
28	20200401	MS	1073.0	3712.0		332.0	22.0	4785	35ae065ceaf922c76b0a8294fab988d65a256d16	2020-04-01T20:00:00Z	4785	28	2.0	121.0	175.0	136.0	311.0
29	20200401	MT	208.0	4710.0		17.0	5.0	4918	041c2689bb5b8262ed03718cf352dde6608dc39e	2020-04-01T20:00:00Z	4918	30	1.0	3.0	476.0	24.0	500.0
30	20200401	NC	1584.0	24659.0		204.0	10.0	26243	25ee8214b58109bd818071301eeeee63b46a3ece	2020-04-01T20:00:00Z	26243	37	2.0	47.0	3051.0	86.0	3137.0
31	20200401	ND	142.0	4351.0		23.0	3.0	4493	34c95ce5c808653e823263325d09ab6f6e9a0e56	2020-04-01T20:00:00Z	4493	38	0.0	2.0	220.0	16.0	236.0
32	20200401	NE	210.0	3475.0	8.0		4.0	3693	25612ca595861773436de50a88c55bcf58962ac8	2020-04-01T20:00:00Z	3685	31	1.0	0.0	544.0	38.0	582.0
33	20200401	NH	415.0	5985.0	97.0	59.0	4.0	6497	9e2d28b6cbff574fec37ef79d354c9429ec93d37	2020-04-01T20:00:00Z	6400	33	1.0	14.0	572.0	101.0	673.0
34	20200401	NJ	22255.0	30387.0			355.0	52642	bb7d308b8ae9ce7b2015953b510b0b8360a126f3	2020-04-01T20:00:00Z	52642	34	88.0	0.0	3310.0	3559.0	6869.0
35	20200401	NM	315.0	12925.0		24.0	5.0	13240	3a05b16f3a995d9d5e0f1533b454531484c5aeb0	2020-04-01T20:00:00Z	13240	35	1.0	2.0	679.0	34.0	713.0
36	20200401	NV	1279.0	11519.0			26.0	12798	1e1cd681a119da91f3b32db713e5e14df1269118	2020-04-01T20:00:00Z	12798	32	9.0	0.0	838.0	166.0	1004.0
37	20200401	NY	83712.0	137168.0		18368.0	1941.0	220880	e602f915dbceef0c07f215f142f6c47347a8f820	2020-04-01T20:00:00Z	220880	36	391.0	2464.0	7777.0	7917.0	15694.0
38	20200401	OH	2547.0	26992.0		679.0	65.0	29539	5da2bc21adf4a818c0e46ed6ce8325bf289f8f38	2020-04-01T20:00:00Z	29539	39	10.0	94.0	0.0	348.0	348.0
39	20200401	OK	719.0	1248.0		219.0	30.0	1967	4c25fd9a39b03ba60567c70ca488a07ed7cdfdd4	2020-04-01T20:00:00Z	1967	40	7.0	42.0	19.0	154.0	173.0
40	20200401	OR	690.0	13136.0		154.0	18.0	13826	85fa35694d5b5747848aa9b3c9cd32fa68b7342b	2020-04-01T20:00:00Z	13826	41	0.0	0.0	0.0	0.0	0.0
41	20200401	PA	5805.0	42427.0		620.0	74.0	48232	f6f94485760559e954b39ebb4fbc08a44c347ea4	2020-04-01T20:00:00Z	48232	42	11.0	106.0	4782.0	962.0	5744.0
42	20200401	PR	286.0	1409.0	897.0		11.0	2592	c02f981326f232cb58095cdda1bc7eac0392967c	2020-04-01T20:00:00Z	1695	72	3.0	0.0	214.0	47.0	261.0
43	20200401	RI	566.0	3831.0		60.0	10.0	4397	90d5c1b66aadc5ccecc930621a7ac9cb5ff8e805	2020-04-01T20:00:00Z	4397	44	2.0	1.0	355.0	78.0	433.0
44	20200401	SC	1293.0	5033.0		349.0	26.0	6326	d497cb94c85727f8706a1fb7f623ae818d6c8395	2020-04-01T20:00:00Z	6326	45	4.0	90.0	417.0	210.0	627.0
45	20200401	SD	129.0	3903.0	0.0	12.0	2.0	4032	044b55cb6cf208d3efce5e6a95f701a98bc856c2	2020-04-01T20:00:00Z	4032	46	1.0	0.0	294.0	21.0	315.0
46	20200401	TN	2683.0	29769.0		200.0	24.0	32452	899a54f4b5a7fe9f205fe3f7fbf8fe9c164628c4	2020-04-01T20:00:00Z	32452	47	1.0	25.0	4648.0	444.0	5092.0
47	20200401	TX	3997.0	43860.0		196.0	58.0	47857	f3ff8beec9699da9e3aac4e6700c76c5000be5c0	2020-04-01T20:00:00Z	47857	48	17.0	0.0	4134.0	731.0	4865.0
48	20200401	UT	1012.0	20155.0		91.0	7.0	21167	411d4cce2093b8615edac20fde58306c196d0f82	2020-04-01T20:00:00Z	21167	49	2.0	18.0	2529.0	125.0	2654.0
